num_hidden_neurons,l_rate,weights_distr,batch_size,act_f,lambda,optimizer,k,score
"[5, 5]",0.001,gaussian,16,logistic,0.001,"('trivial', 0.9)",3,0.655863398059406
"[5, 5, 5]",0.001,gaussian,64,softplus,0.0,"('trivial', 0.9)",3,0.6559388665610922
"[5, 5]",0.001,gaussian,169,relu,0.001,"('trivial', 0.9)",3,0.6560183951948078
"[200, 200]",0.001,gaussian,169,relu,0.001,"('trivial', 0.0)",3,0.6563755797128498
[20],0.001,gaussian,169,softplus,0.001,"('trivial', 0.0)",3,0.6565083547387011
"[5, 5, 5]",0.001,gaussian,8,softplus,0.0,"('trivial', 0.5)",3,0.6568305259840911
"[5, 5]",0.001,gaussian,8,logistic,0.001,"('nesterov', 0.9)",3,0.6569107267690071
"[20, 20]",0.01,gaussian,16,logistic,0.001,"('trivial', 0.0)",3,0.6569289558156101
[3],0.001,gaussian,169,relu,0.0,"('nesterov', 0.9)",3,0.6569735487307393
[20],0.001,gaussian,169,logistic,0.001,"('trivial', 0.5)",3,0.65721528539888
[3],0.01,gaussian,64,logistic,0.001,"('trivial', 0.5)",3,0.6572581481698997
[10],0.001,gaussian,169,tanh,0.001,"('nesterov', 0.5)",3,0.6573413384507035
"[100, 100]",0.001,gaussian,64,relu,0.001,"('trivial', 0.5)",3,0.6574698631037165
[100],0.001,gaussian,64,relu,0.001,"('trivial', 0.0)",3,0.6575720311088062
"[200, 200]",0.001,gaussian,169,relu,0.0,"('trivial', 0.5)",3,0.6575763973186793
[5],0.001,gaussian,169,relu,0.0,"('trivial', 0.9)",3,0.6578398878069632
"[200, 200]",0.1,gaussian,2,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6578679067316341
"[200, 200]",0.001,gaussian,64,relu,0.001,"('nesterov', 0.5)",3,0.6579711178019513
"[20, 20]",0.001,gaussian,64,relu,0.0,"('trivial', 0.5)",3,0.6580492725635109
"[200, 200]",0.001,gaussian,169,relu,0.0,"('trivial', 0.0)",3,0.6581656771977631
"[100, 100]",0.1,gaussian,64,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6581987401940691
[3],0.05,gaussian,169,logistic,0.0,"('trivial', 0.0)",3,0.6582186226830382
[5],0.001,gaussian,32,softplus,0.0,"('nesterov', 0.5)",3,0.6582389984349261
[3],0.01,gaussian,169,softplus,0.001,"('trivial', 0.0)",3,0.6585888933969541
[5],0.001,gaussian,169,relu,0.001,"('nesterov', 0.9)",3,0.6587155545491621
"[100, 100]",0.001,gaussian,169,relu,0.0,"('trivial', 0.9)",3,0.6589490310165212
[20],0.001,gaussian,169,logistic,0.001,"('nesterov', 0.9)",3,0.6589673654283543
"[5, 5, 5]",0.001,gaussian,32,tanh,0.001,"('trivial', 0.5)",3,0.6592806575162046
[3],0.01,gaussian,1,relu,0.001,"('trivial', 0.5)",3,0.6593114811535282
"[5, 5, 5]",0.05,gaussian,169,logistic,0.0,"('trivial', 0.9)",3,0.659393202924894
"[20, 20]",0.001,gaussian,169,relu,0.001,"('trivial', 0.5)",3,0.659497140714692
[5],0.001,gaussian,169,tanh,0.0,"('nesterov', 0.5)",3,0.6595024238406946
"[100, 100]",0.01,gaussian,169,relu,0.0,"('trivial', 0.0)",3,0.659676312926603
[20],0.001,gaussian,64,relu,0.001,"('nesterov', 0.5)",3,0.6597969654553061
[5],0.001,gaussian,8,logistic,0.0,"('nesterov', 0.5)",3,0.6599761557004084
[150],0.001,gaussian,169,relu,0.0,"('nesterov', 0.5)",3,0.6600078761777959
"[5, 5]",0.01,gaussian,169,softplus,0.0,"('trivial', 0.0)",3,0.6600632037637211
[10],0.001,gaussian,169,tanh,0.001,"('trivial', 0.5)",3,0.6601442957734251
"[5, 5, 5]",0.01,gaussian,169,relu,0.0,"('trivial', 0.0)",3,0.6602708098182792
[5],0.001,gaussian,64,softplus,0.001,"('nesterov', 0.5)",3,0.6602735279271678
[5],0.001,gaussian,64,tanh,0.0,"('nesterov', 0.5)",3,0.660282378445015
[100],0.001,gaussian,32,relu,0.001,"('trivial', 0.0)",3,0.6604675466549547
"[5, 5]",0.1,gaussian,169,logistic,0.0,"('nesterov', 0.5)",3,0.6604699837691994
[5],0.001,gaussian,32,logistic,0.001,"('trivial', 0.5)",3,0.6605239651822385
"[5, 5, 5]",0.05,gaussian,32,logistic,0.0,"('trivial', 0.5)",3,0.6605862194257665
[150],0.001,gaussian,169,softplus,0.0,"('nesterov', 0.5)",3,0.6606483649173032
"[200, 200]",0.001,gaussian,169,relu,0.001,"('trivial', 0.5)",3,0.6606631137117992
[20],0.001,gaussian,64,softplus,0.0,"('trivial', 0.5)",3,0.6606711083942507
[3],0.001,gaussian,16,softplus,0.0,"('trivial', 0.5)",3,0.6607398270294476
[5],0.01,gaussian,169,logistic,0.0,"('trivial', 0.5)",3,0.6607555814322238
"[5, 5]",0.01,gaussian,169,logistic,0.0,"('trivial', 0.9)",3,0.6607783512990572
[3],0.001,gaussian,169,relu,0.001,"('nesterov', 0.9)",3,0.6607796608457304
[20],0.001,gaussian,169,logistic,0.0,"('trivial', 0.0)",3,0.66081335019851
[5],0.001,gaussian,32,relu,0.0,"('trivial', 0.0)",3,0.6609237979388033
[5],0.01,gaussian,169,softplus,0.001,"('nesterov', 0.5)",3,0.6609398887184611
"[20, 20]",0.01,gaussian,169,relu,0.001,"('trivial', 0.0)",3,0.66096192372092
[20],0.01,gaussian,64,logistic,0.001,"('trivial', 0.0)",3,0.6610045208208087
[20],0.001,gaussian,169,logistic,0.001,"('trivial', 0.0)",3,0.661031766860695
[3],0.001,gaussian,32,softplus,0.001,"('trivial', 0.5)",3,0.6612241930086361
"[5, 5, 5]",0.05,gaussian,4,relu,0.001,"('nesterov', 0.5)",3,0.6612754440870551
[150],0.001,gaussian,64,relu,0.0,"('nesterov', 0.5)",3,0.6612768264733853
[3],0.05,gaussian,169,logistic,0.0,"('trivial', 0.5)",3,0.661438406100166
"[5, 5, 5]",0.001,gaussian,32,tanh,0.001,"('trivial', 0.0)",3,0.6614521979454531
[3],0.001,gaussian,32,logistic,0.0,"('trivial', 0.5)",3,0.6614527011848842
"[20, 20]",0.001,gaussian,32,softplus,0.001,"('trivial', 0.5)",3,0.6615011728738223
"[5, 5, 5]",0.001,gaussian,32,softplus,0.0,"('nesterov', 0.5)",3,0.6615271461107772
[3],0.01,gaussian,64,logistic,0.0,"('trivial', 0.0)",3,0.6616805666852215
[20],0.001,gaussian,169,logistic,0.0,"('trivial', 0.5)",3,0.6617657469414775
"[5, 5]",0.001,gaussian,64,softplus,0.0,"('nesterov', 0.5)",3,0.6617681940621524
"[5, 5, 5]",0.001,gaussian,32,relu,0.001,"('trivial', 0.0)",3,0.6618300659599273
[10],0.001,gaussian,16,logistic,0.0,"('trivial', 0.0)",3,0.6621063482525504
"[5, 5, 5]",0.8,gaussian,64,softplus,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6621882775134266
"[5, 5, 5]",0.001,gaussian,32,tanh,0.0,"('nesterov', 0.5)",3,0.6622935693889102
"[200, 200]",0.001,gaussian,169,relu,0.001,"('nesterov', 0.5)",3,0.662296131049138
"[5, 5, 5]",0.4,gaussian,169,logistic,0.001,"('trivial', 0.0)",3,0.6624632526654278
"[5, 5, 5]",0.001,gaussian,32,tanh,0.001,"('nesterov', 0.5)",3,0.6624889052129309
"[5, 5]",0.01,gaussian,169,logistic,0.0,"('nesterov', 0.9)",3,0.6625333289638459
"[5, 5, 5]",0.001,gaussian,32,relu,0.0,"('trivial', 0.5)",3,0.6625373775225862
[150],0.001,gaussian,169,relu,0.001,"('nesterov', 0.5)",3,0.6627327409703802
"[5, 5, 5]",0.8,gaussian,4,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6627609046861013
"[5, 5]",0.001,gaussian,32,softplus,0.001,"('nesterov', 0.5)",3,0.6628019743144451
"[20, 20]",0.001,gaussian,32,relu,0.001,"('nesterov', 0.5)",3,0.6628312793307495
[20],0.001,gaussian,8,logistic,0.001,"('trivial', 0.0)",3,0.6628445005187115
"[5, 5]",0.001,gaussian,169,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.662896304567609
[3],0.2,gaussian,8,relu,0.001,"('trivial', 0.0)",3,0.6629267905734112
"[100, 100]",0.001,gaussian,169,softplus,0.0,"('trivial', 0.0)",3,0.6629402615802323
"[5, 5]",0.001,gaussian,32,softplus,0.0,"('trivial', 0.0)",3,0.6629596791018758
[100],0.001,gaussian,64,relu,0.0,"('trivial', 0.0)",3,0.6629805152740731
[20],0.001,gaussian,32,logistic,0.001,"('trivial', 0.0)",3,0.6630471272023671
"[100, 100]",0.001,gaussian,169,relu,0.001,"('trivial', 0.0)",3,0.6630630751202508
"[20, 20]",0.4,gaussian,8,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6630836424084334
"[5, 5]",0.05,gaussian,64,logistic,0.0,"('trivial', 0.0)",3,0.6631546989752716
"[20, 20]",0.05,gaussian,169,logistic,0.0,"('trivial', 0.5)",3,0.6631710004375
"[100, 100]",0.001,gaussian,4,logistic,0.0,"('nesterov', 0.5)",3,0.6632071022835834
[100],0.001,gaussian,169,tanh,0.001,"('trivial', 0.5)",3,0.6632809249006426
[20],0.001,gaussian,32,logistic,0.001,"('nesterov', 0.5)",3,0.6633136680202244
"[5, 5, 5]",0.001,gaussian,4,logistic,0.0,"('trivial', 0.9)",3,0.6633144295372064
[5],0.001,gaussian,169,softplus,0.0,"('nesterov', 0.9)",3,0.6633167694170421
[20],0.001,gaussian,64,relu,0.0,"('trivial', 0.5)",3,0.6633348725037211
"[5, 5, 5]",0.001,gaussian,64,softplus,0.0,"('nesterov', 0.5)",3,0.6633443433073981
"[5, 5, 5]",0.001,gaussian,169,tanh,0.0,"('nesterov', 0.9)",3,0.6633489849562028
[3],0.001,gaussian,8,logistic,0.0,"('trivial', 0.0)",3,0.6633663073106472
[10],0.001,gaussian,64,logistic,0.001,"('nesterov', 0.5)",3,0.6633812928828943
"[100, 100]",0.001,gaussian,169,softplus,0.001,"('nesterov', 0.5)",3,0.6634319867424242
"[20, 20]",0.001,gaussian,169,logistic,0.0,"('trivial', 0.0)",3,0.663453275046875
"[5, 5, 5]",0.1,gaussian,4,relu,0.001,"('nesterov', 0.5)",3,0.6634717447320685
[20],0.001,gaussian,64,logistic,0.0,"('trivial', 0.0)",3,0.6634822292392265
"[5, 5]",0.001,gaussian,64,logistic,0.001,"('nesterov', 0.5)",3,0.6634833431726136
[3],0.001,gaussian,64,relu,0.0,"('trivial', 0.5)",3,0.6634939157075067
"[5, 5, 5]",0.001,gaussian,64,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6634966071223398
"[20, 20]",0.001,gaussian,169,softplus,0.001,"('trivial', 0.0)",3,0.6635161813586357
[20],0.001,gaussian,32,logistic,0.0,"('trivial', 0.5)",3,0.6635197620343094
"[20, 20]",0.001,gaussian,169,tanh,0.0,"('trivial', 0.0)",3,0.6635367203678779
[10],0.01,gaussian,169,relu,0.001,"('trivial', 0.0)",3,0.663584554176797
[5],0.001,gaussian,64,softplus,0.0,"('nesterov', 0.5)",3,0.6635931867374127
[150],0.1,gaussian,32,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6635945060473358
"[20, 20]",0.001,gaussian,2,logistic,0.0,"('trivial', 0.0)",3,0.6636146328763949
[5],0.001,gaussian,64,logistic,0.001,"('nesterov', 0.5)",3,0.6636791776631834
[20],0.001,gaussian,169,logistic,0.0,"('trivial', 0.9)",3,0.6636960695609454
[5],0.001,gaussian,169,relu,0.0,"('nesterov', 0.5)",3,0.6636962783126026
[5],0.001,gaussian,169,logistic,0.001,"('nesterov', 0.9)",3,0.6637089383235839
"[5, 5, 5]",0.001,gaussian,16,relu,0.001,"('trivial', 0.5)",3,0.6637411759766454
"[100, 100]",0.8,gaussian,8,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6637454127824421
"[5, 5, 5]",0.8,gaussian,32,relu,0.001,"('trivial', 0.0)",3,0.6637526924124498
[20],0.001,gaussian,64,tanh,0.001,"('trivial', 0.0)",3,0.6638178870506312
[100],0.001,gaussian,169,tanh,0.001,"('nesterov', 0.5)",3,0.6638864922026951
"[20, 20]",0.001,gaussian,169,logistic,0.001,"('nesterov', 0.5)",3,0.6639124472295063
[3],0.1,gaussian,4,relu,0.0,"('trivial', 0.5)",3,0.6639702023494335
[5],0.001,gaussian,64,logistic,0.0,"('trivial', 0.9)",3,0.6640203629732335
[3],0.8,gaussian,16,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6640284961103783
"[5, 5]",0.001,gaussian,32,tanh,0.001,"('trivial', 0.5)",3,0.6640531041324909
[150],0.001,gaussian,32,relu,0.001,"('trivial', 0.0)",3,0.6640615653171908
[5],0.001,gaussian,16,logistic,0.0,"('trivial', 0.0)",3,0.6640798097928604
[10],0.001,gaussian,32,logistic,0.0,"('trivial', 0.0)",3,0.6640895029647201
"[20, 20]",0.001,gaussian,169,relu,0.0,"('trivial', 0.0)",3,0.6641203017938967
"[5, 5, 5]",0.8,gaussian,32,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6641306647211631
"[5, 5]",0.001,gaussian,16,logistic,0.0,"('trivial', 0.9)",3,0.6641490954452675
[20],0.001,gaussian,64,relu,0.001,"('trivial', 0.5)",3,0.6642206374258747
"[5, 5, 5]",0.001,gaussian,64,logistic,0.0,"('trivial', 0.5)",3,0.6642523916998878
[3],0.001,gaussian,169,tanh,0.0,"('nesterov', 0.5)",3,0.6642646791809436
[3],0.6,gaussian,16,relu,0.001,"('trivial', 0.5)",3,0.664301326108193
"[5, 5]",0.6,gaussian,169,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6643257830488926
[3],0.001,gaussian,169,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6643667587219078
"[5, 5, 5]",0.001,gaussian,64,relu,0.0,"('trivial', 0.5)",3,0.6643950980349416
[3],0.6,gaussian,169,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6643975541311283
[3],0.2,gaussian,8,relu,0.0,"('trivial', 0.0)",3,0.6644033600572206
"[100, 100]",0.001,gaussian,169,tanh,0.001,"('trivial', 0.0)",3,0.6644043431616526
[3],0.01,gaussian,169,logistic,0.0,"('trivial', 0.0)",3,0.6644047548560967
[5],0.001,gaussian,16,logistic,0.001,"('nesterov', 0.5)",3,0.6644133516070573
"[5, 5]",0.05,gaussian,2,relu,0.0,"('trivial', 0.0)",3,0.6644215584742656
"[20, 20]",0.001,gaussian,169,logistic,0.001,"('trivial', 0.5)",3,0.6644597072480248
"[5, 5, 5]",0.2,gaussian,8,relu,0.0,"('trivial', 0.0)",3,0.6644650193360836
[20],0.001,gaussian,64,logistic,0.0,"('nesterov', 0.5)",3,0.6644910516322707
"[5, 5, 5]",0.1,gaussian,64,logistic,0.001,"('trivial', 0.5)",3,0.6645550104640302
"[200, 200]",0.01,gaussian,32,logistic,0.0,"('trivial', 0.0)",3,0.6645640025703125
"[5, 5]",0.001,gaussian,64,softplus,0.0,"('trivial', 0.9)",3,0.6645924066693683
"[200, 200]",0.001,gaussian,2,logistic,0.001,"('trivial', 0.0)",3,0.6646331028428941
[3],0.001,gaussian,16,logistic,0.001,"('trivial', 0.0)",3,0.6646418088649025
"[20, 20]",0.001,gaussian,64,logistic,0.001,"('trivial', 0.0)",3,0.6646476004059402
[20],0.001,gaussian,16,logistic,0.0,"('trivial', 0.5)",3,0.6646477611280804
[3],0.001,gaussian,4,logistic,0.001,"('trivial', 0.0)",3,0.6646498975466283
[3],0.05,gaussian,4,relu,0.0,"('nesterov', 0.9)",3,0.6646545644208968
