l_rate,num_hidden_neurons,weights_distr,batch_size,act_f,lambda,optimizer,k,score
0.001,"[100, 100]",gaussian,124,tanh,0.0,"('nesterov', 0.9)",5,1.6812531179823709
0.0001,"[100, 100]",gaussian,1,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6813220545588337
0.001,"[100, 100]",gaussian,124,relu,0.001,"('nesterov', 0.9)",8,1.681355409935644
0.0005,"[150, 150]",gaussian,124,relu,0.0,"('nesterov', 0.9)",5,1.681674577738662
0.0005,"[200, 200]",gaussian,4,logistic,0.0,"('trivial', 0.9)",5,1.682175468816063
0.0005,"[200, 200]",gaussian,8,tanh,0.0,"('trivial', 0.0)",5,1.6824166050417881
0.001,"[100, 100]",uniform,124,tanh,0.0,"('trivial', 0.9)",8,1.6833046506130895
0.0005,"[100, 100]",gaussian,8,tanh,0.0001,"('trivial', 0.0)",5,1.6833875593388907
0.005,"[200, 200]",gaussian,124,tanh,0.0,"('trivial', 0.5)",5,1.6835076248105558
0.001,"[100, 100]",gaussian,32,tanh,0.0,"('trivial', 0.5)",8,1.683622695942104
0.0005,"[100, 100]",gaussian,124,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6836394239731292
0.0005,"[100, 100]",gaussian,124,relu,0.0,"('nesterov', 0.9)",5,1.6837198906538926
0.0005,"[150, 150]",gaussian,4,relu,0.0,"('nesterov', 0.9)",5,1.6838806550675358
0.001,"[150, 150]",gaussian,124,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6846513049599718
0.005,"[150, 150]",gaussian,124,relu,0.0001,"('trivial', 0.5)",5,1.6854795602727062
0.0001,"[100, 100]",uniform,32,relu,0.0,"('nesterov', 0.9)",8,1.6867746364994844
0.005,"[100, 100]",gaussian,124,tanh,0.0,"('nesterov', 0.5)",5,1.6867866929804731
0.005,"[150, 150]",gaussian,124,tanh,0.0001,"('trivial', 0.5)",5,1.6869740363722459
0.001,"[100, 100]",gaussian,124,tanh,0.0001,"('nesterov', 0.9)",5,1.6877622406804569
0.0005,"[150, 150]",gaussian,1,relu,0.0001,"('nesterov', 0.5)",5,1.6877995748314092
0.001,"[100, 100]",gaussian,124,relu,0.0,"('nesterov', 0.9)",8,1.688619145032953
0.0005,"[150, 150]",gaussian,124,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6887945104589253
0.0005,"[150, 150]",gaussian,4,relu,0.0001,"('trivial', 0.9)",5,1.6888681125876102
0.0001,"[100, 100]",uniform,2,tanh,0.0,"('trivial', 0.0)",8,1.6890376811404066
0.001,"[150, 150]",gaussian,124,tanh,0.0001,"('trivial', 0.9)",5,1.6897660328660085
0.005,"[100, 100]",gaussian,124,tanh,0.0001,"('nesterov', 0.5)",5,1.6898320463199816
0.005,"[100, 100]",gaussian,1,tanh,0.0001,"('trivial', 0.0)",5,1.6904222566147205
0.0005,"[200, 200]",gaussian,8,relu,0.0,"('trivial', 0.9)",5,1.691903838310258
0.005,"[150, 150]",gaussian,8,logistic,0.0001,"('trivial', 0.0)",5,1.6920980828555436
0.0005,"[100, 100]",gaussian,1,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.692948211092086
0.005,"[200, 200]",gaussian,8,relu,0.0,"('trivial', 0.0)",5,1.6930270654014299
0.0005,"[150, 150]",gaussian,8,relu,0.0001,"('trivial', 0.0)",5,1.6931040484195108
0.0001,"[100, 100]",uniform,4,tanh,0.0,"('trivial', 0.5)",8,1.6931580304956118
0.005,"[150, 150]",gaussian,124,relu,0.0,"('trivial', 0.5)",5,1.6949366658870717
0.005,"[200, 200]",gaussian,1772,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6953350495997974
0.005,"[150, 150]",gaussian,8,relu,0.0001,"('trivial', 0.0)",5,1.697106590328236
0.001,"[100, 100]",uniform,8,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6978392987991335
0.0005,"[200, 200]",gaussian,8,logistic,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6982185060909671
0.001,"[200, 200]",gaussian,8,relu,0.0,"('nesterov', 0.9)",5,1.6983062632965016
0.001,"[150, 150]",gaussian,4,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6987337122910386
0.0005,"[200, 200]",gaussian,1,logistic,0.0001,"('nesterov', 0.5)",5,1.6990618285386583
0.001,"[100, 100]",uniform,124,tanh,0.001,"('trivial', 0.9)",8,1.69932989803181
0.0001,"[100, 100]",uniform,1,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6998340129737142
0.0005,"[100, 100]",gaussian,1,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6999923554608818
0.001,"[100, 100]",gaussian,124,relu,0.0,"('trivial', 0.9)",8,1.7003513522038336
0.0005,"[150, 150]",gaussian,1,tanh,0.0001,"('nesterov', 0.9)",5,1.7008790916376781
0.001,"[150, 150]",gaussian,8,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.7026745345235743
0.001,"[100, 100]",gaussian,1,relu,0.0001,"('nesterov', 0.5)",5,1.7026751927462729
0.0005,"[150, 150]",gaussian,4,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.7027178735383477
0.001,"[100, 100]",gaussian,32,tanh,0.001,"('nesterov', 0.5)",8,1.7034337964241708
0.0001,"[100, 100]",gaussian,2,tanh,0.0,"('trivial', 0.0)",8,1.70360152694434
0.001,"[150, 150]",gaussian,1,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.703698889531856
0.001,"[200, 200]",gaussian,1,relu,0.0,"('trivial', 0.0)",5,1.703898403014214
0.005,"[200, 200]",gaussian,124,tanh,0.0001,"('nesterov', 0.5)",5,1.7057165947415762
0.0005,"[150, 150]",gaussian,1,relu,0.0,"('trivial', 0.5)",5,1.7057682543626995
0.005,"[100, 100]",gaussian,4,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.7058006265672678
0.001,"[100, 100]",gaussian,124,tanh,0.001,"('trivial', 0.9)",8,1.7066615096722753
0.01,"[100, 100]",uniform,124,logistic,0.0,"('trivial', 0.9)",8,1.7069690929045611
0.005,"[100, 100]",gaussian,124,relu,0.0001,"('trivial', 0.0)",5,1.7070103640687357
0.0005,"[100, 100]",gaussian,4,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.7070429357806325
0.0005,"[100, 100]",gaussian,1,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.7071023848763822
0.001,"[150, 150]",gaussian,1,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.7071026236939528
0.0001,"[100, 100]",gaussian,2,relu,0.0,"('trivial', 0.0)",8,1.7087175609271497
0.001,"[200, 200]",gaussian,124,softplus,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.7088050640444366
0.001,"[150, 150]",gaussian,512,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.708805645056346
0.001,"[100, 100]",gaussian,8,relu,0.01,"('trivial', 0.0)",8,1.7090430785024224
0.0001,"[100, 100]",uniform,4,relu,0.0,"('nesterov', 0.5)",8,1.7094760189287623
0.01,"[100, 100]",gaussian,124,tanh,0.0,"('trivial', 0.0)",8,1.7095150021838736
0.005,"[150, 150]",gaussian,1772,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.7095982606095554
0.005,"[100, 100]",gaussian,512,tanh,0.0001,"('nesterov', 0.9)",5,1.7097127875227975
0.001,"[100, 100]",gaussian,32,tanh,0.001,"('trivial', 0.5)",8,1.7100000249644214
0.001,"[200, 200]",gaussian,4,logistic,0.0,"('trivial', 0.5)",5,1.7101195407840877
0.0001,"[100, 100]",uniform,4,tanh,0.0,"('nesterov', 0.5)",8,1.7102905257488228
0.0005,"[100, 100]",gaussian,124,tanh,0.0001,"('trivial', 0.9)",5,1.7102927224735147
0.0005,"[200, 200]",gaussian,8,relu,0.0,"('trivial', 0.0)",5,1.7103267485176648
0.0001,"[100, 100]",uniform,2,relu,0.0,"('trivial', 0.0)",8,1.7104220725889092
